"geoip.country_name.keyword: Descending",Count
Brazil,31259124
"United States",14881347
China,9428844
Taiwan,8752510
"The Netherlands",7754345
Russia,6851191
Bulgaria,5840022
France,5532178
Germany,4426931
India,4303932
Romania,3907002
Vietnam,3367124
"Hong Kong",3339224
"United Kingdom",2066412
Belgium,1986120
"Türkiye",1940976
Sweden,1904249
"__missing__",1886469
Singapore,1870906
Canada,1676003
Bangladesh,1664490
"South Korea",1545794
Indonesia,1501226
Poland,1440224
Estonia,1372567
Ukraine,1250761
Iran,1172330
Australia,1037318
Japan,818664
Pakistan,753401
Italy,730146
Thailand,670409
Spain,590764
"United Arab Emirates",530905
Colombia,460993
Finland,458916
Ecuador,417016
Philippines,397253
Egypt,390095
Argentina,372846
Switzerland,361433
Azerbaijan,356884
Malaysia,342318
Mexico,340598
Lithuania,328904
Venezuela,311509
"South Africa",284103
Israel,272589
Cyprus,268132
Kazakhstan,262246
Moldova,231116
Peru,214595
"Saudi Arabia",211254
Seychelles,202602
Portugal,158513
Greece,152003
Nigeria,135947
Austria,130687
Panama,124365
Algeria,122487
Paraguay,119670
"Dominican Republic",103954
Bolivia,103517
Chile,102090
Tunisia,94253
Czechia,90478
Uzbekistan,90473
Ireland,86265
Morocco,82521
Denmark,77557
Mongolia,77209
Laos,76702
Serbia,71623
Kenya,71043
Ethiopia,64483
Afghanistan,62720
Kyrgyzstan,61727
Bahrain,61685
Hungary,61677
"North Macedonia",56941
Gibraltar,53699
Macao,53181
Latvia,53166
Lebanon,51785
Palestine,51741
Slovakia,50442
Slovenia,50407
Georgia,47440
Armenia,47270
Belarus,44833
Iceland,43820
Nepal,37435
Iraq,33779
"Sri Lanka",32953
Cambodia,32427
Albania,32172
Nicaragua,29650
Netherlands,29170
Norway,28760
Tanzania,28241
Luxembourg,26364
"Costa Rica",26147
Myanmar,25535
Uganda,24430
Guadeloupe,24236
Uruguay,24005
Croatia,23704
Jordan,23600
Botswana,21944
Mauritius,21346
Kuwait,21114
"Papua New Guinea",20609
Syria,19319
Monaco,19199
Qatar,18853
Montenegro,18229
Kosovo,15995
"Ivory Coast",15679
"New Zealand",14268
"Bosnia and Herzegovina",14108
"Saint Martin",13689
Angola,13199
Senegal,12284
Ghana,12208
Jamaica,11554
Zambia,11499
Cameroon,11466
Tajikistan,10702
Zimbabwe,10036
"Puerto Rico",9219
Guatemala,8950
Oman,7393
Honduras,6558
Mozambique,6140
Libya,5123
"Trinidad and Tobago",4850
Niger,4414
"Réunion",4277
Barbados,3940
Rwanda,3889
Andorra,3886
Malta,3851
"Northern Mariana Islands",3827
Namibia,3772
"Burkina Faso",3753
Sudan,3644
Brunei,3580
Burundi,3578
Bhutan,3492
Gabon,3390
Malawi,2971
Turkmenistan,2726
Comoros,1755
Martinique,1694
Vanuatu,1684
"Timor-Leste",1683
"Republic of Lithuania",1547
"New Caledonia",1496
Bahamas,1364
"El Salvador",1278
Samoa,1266
Somalia,1246
Turkey,1223
Benin,1049
Mauritania,1031
Haiti,821
"Curaçao",816
Aruba,803
Belize,801
"Congo Republic",789
"Åland Islands",768
"British Virgin Islands",737
"North Korea",595
Maldives,536
Djibouti,513
Madagascar,478
"São Tomé and Príncipe",473
Gambia,462
Guyana,338
Anguilla,324
Guernsey,303
Yemen,291
Chad,289
"U.S. Virgin Islands",263
"French Guiana",252
Togo,226
Guam,208
"DR Congo",192
"St Kitts and Nevis",191
"Isle of Man",181
Cuba,174
"Cayman Islands",169
Liechtenstein,160
"Equatorial Guinea",134
Fiji,129
Bermuda,126
Mali,117
"Saint Lucia",115
Suriname,110
Jersey,109
"Cabo Verde",106
Antarctica,101
"Republic of Moldova",101
"French Polynesia",91
Liberia,91
Lesotho,65
Guinea,64
"Turks and Caicos Islands",53
"Sierra Leone",51
Eswatini,49
"South Sudan",49
"Bonaire, Sint Eustatius, and Saba",47
"Antigua and Barbuda",46
"Sint Maarten",44
Mayotte,34
Dominica,32
Grenada,28
"Vatican City",25
Eritrea,23
"Faroe Islands",23
"San Marino",22
Greenland,20
"American Samoa",18
"Saint Pierre and Miquelon",14
"Cook Islands",12
Tonga,11
"St Vincent and Grenadines",10
Tuvalu,9
"Marshall Islands",8
Palau,8
"Federated States of Micronesia",6
"Central African Republic",5
"French Southern Territories",4
Kiribati,4
Nauru,4
"Solomon Islands",4
Niue,3
"Falkland Islands",2
"Saint Barthélemy",2
"Guinea-Bissau",1
"Hashemite Kingdom of Jordan",1
Montserrat,1
Tokelau,1
