"Timestamp per day",Attacks,"Unique Source IPs"
1721426400000,146498,28885
1721512800000,107531,16125
1721599200000,136872,27766
1721685600000,130269,25474
1721772000000,237074,38276
1721858400000,160183,46173
1721944800000,131632,21872
1722031200000,103532,23927
1722117600000,159909,32481
1722204000000,204440,25220
1722290400000,199592,29110
1722376800000,155700,25972
1722463200000,128101,19856
1722549600000,148840,42323
1722636000000,168915,26565
1722722400000,135674,27926
1722808800000,146990,17564
1722895200000,123374,32800
1722981600000,169756,23140
1723068000000,129409,16979
1723154400000,101959,17360
1723240800000,328589,38065
1723327200000,209550,19471
1723413600000,229735,26387
1723500000000,209011,19500
1723586400000,171437,16665
1723672800000,821652,24541
1723759200000,411235,16999
1723845600000,186544,24375
1723932000000,235568,20997
1724018400000,232294,26811
1724104800000,383562,29553
1724191200000,283050,31071
1724277600000,231874,34424
1724364000000,167551,27294
1724450400000,297213,39649
1724536800000,272501,43056
1724623200000,277195,62784
1724709600000,326222,58698
1724796000000,337100,45328
1724882400000,319523,39092
1724968800000,254449,38733
1725055200000,260446,46604
1725141600000,412068,43008
1725228000000,281021,33890
1725314400000,305283,48213
1725400800000,368351,57446
1725487200000,281076,53040
1725573600000,312206,41948
1725660000000,269226,46667
1725746400000,250091,50028
1725832800000,363067,51476
1725919200000,611658,56847
1726005600000,685918,61548
1726092000000,432194,75427
1726178400000,603003,71802
1726264800000,769366,62109
1726351200000,541518,75456
1726437600000,636003,67804
1726524000000,646296,76696
1726610400000,496938,90679
1726696800000,319249,61804
1726783200000,550490,84562
1726869600000,394253,102305
1726956000000,425338,84921
1727042400000,476132,115432
1727128800000,316327,79854
1727215200000,388655,98890
1727301600000,533486,166458
1727388000000,1694986,927258
1727474400000,4029433,1921892
1727560800000,165567,4291
1727647200000,244100,16743
1727733600000,150537,3296
1727820000000,108904,3704
1727906400000,145493,4512
1727992800000,146725,4826
1728079200000,150075,4043
1728165600000,188097,4566
1728252000000,77127,3897
1728338400000,75956,3032
1728424800000,2920278,117269
1728511200000,190607,4159
1728597600000,69909,3323
1728684000000,60477,2857
1728770400000,46627,2405
1728856800000,82517,2148
1728943200000,47621,2377
1729029600000,48785,2506
1729116000000,50946,2360
1729202400000,42353,2444
1729288800000,32652,2116
1729375200000,32459,2252
1729461600000,60074,2423
1729548000000,113485,3038
1729634400000,66347,2516
1729720800000,49341,2453
1729807200000,52855,2320
1729893600000,54662,2202
1729980000000,126048,3486
1730070000000,139912,3382
1730156400000,61714,2356
1730242800000,248382,19652
1730329200000,278180,23981
1730415600000,395152,16110
1730502000000,489443,22478
1730588400000,305815,9828
1730674800000,205172,9897
1730761200000,179572,12037
1730847600000,204858,15791
1730934000000,199589,24372
1731020400000,119160,20555
1731106800000,101481,10281
1731193200000,123828,26840
1731279600000,179598,14194
1731366000000,172448,14448
1731452400000,208505,18105
1731538800000,335510,25108
1731625200000,333262,35060
1731711600000,163256,22812
1731798000000,287758,22837
1731884400000,262769,20202
1731970800000,194590,40478
1732057200000,300849,34924
1732143600000,1878384,590254
1732230000000,1339391,486673
1732316400000,310145,58707
1732402800000,395219,32044
1732489200000,460221,29290
1732575600000,425046,31999
1732662000000,428826,34539
1732748400000,416468,36887
1732834800000,646417,33764
1732921200000,635702,31615
1733007600000,528323,32405
1733094000000,740006,35590
1733180400000,643350,34136
1733266800000,546393,38799
1733353200000,728359,40327
1733439600000,587306,37005
1733526000000,613213,35394
1733612400000,489805,33304
1733698800000,478435,36742
1733785200000,543045,29900
1733871600000,717162,27706
1733958000000,730423,31274
1734044400000,998562,35391
1734130800000,851872,31697
1734217200000,899826,33559
1734303600000,784096,103708
1734390000000,7873135,151924
1734476400000,5418701,128155
1734562800000,4523839,126288
1734649200000,1693783,36580
1734735600000,865121,58027
1734822000000,524114,22660
1734908400000,781880,21552
1734994800000,941500,20353
1735081200000,690699,24330
1735167600000,2319996,76963
1735254000000,1051370,61260
1735340400000,497986,63563
1735426800000,471532,82641
1735513200000,616470,68952
1735599600000,598048,101369
1735686000000,567679,104164
1735772400000,508948,94385
1735858800000,479048,104261
1735945200000,648412,161957
1736031600000,444306,80184
1736118000000,279349,4970
1736204400000,298100,4387
1736290800000,314402,5370
1736377200000,358833,5954
1736463600000,213819,5730
1736550000000,145239,4731
1736636400000,212516,5892
1736722800000,418974,19461
1736809200000,478757,16745
1736895600000,492632,16399
1736982000000,431530,14500
1737068400000,385374,31783
1737154800000,442005,33812
1737241200000,550793,41625
1737327600000,431977,21036
1737414000000,274831,15378
1737500400000,458650,37426
1737586800000,680661,15765
1737673200000,471128,25996
1737759600000,466130,28652
1737846000000,573782,31783
1737932400000,444749,36840
1738018800000,280170,6622
1738105200000,385223,4889
1738191600000,729927,12421
1738278000000,534386,12104
1738364400000,512837,10283
1738450800000,492246,11944
1738537200000,369003,10094
1738623600000,396206,14374
1738710000000,544603,14010
1738796400000,415389,11913
1738882800000,485204,18221
1738969200000,374400,22741
1739055600000,455757,13380
1739142000000,495231,24373
1739228400000,573879,24927
1739314800000,347176,21909
1739401200000,400391,24160
1739487600000,374626,14886
1739574000000,350957,18708
1739660400000,383894,21072
1739746800000,565320,21605
1739833200000,798392,28058
1739919600000,863576,19541
1740006000000,641748,19618
1740092400000,966374,22671
1740178800000,997438,29256
1740265200000,911798,24363
1740351600000,888886,24373
1740438000000,688807,17384
1740524400000,678900,25288
1740610800000,619466,26840
1740697200000,654503,21854
1740783600000,573869,23252
1740870000000,580357,24381
1740956400000,536369,38166
1741042800000,483272,33697
1741129200000,927940,42537
1741215600000,988885,56547
1741302000000,1054027,50062
1741388400000,534737,47457
1741474800000,1000571,47846
1741561200000,1177984,33949
1741647600000,813693,43954
1741734000000,604303,29772
1741820400000,747326,21915
1741906800000,750854,19456
1741993200000,681210,20310
1742079600000,1142113,35368
1742166000000,834635,22068
1742252400000,1064022,22978
1742338800000,614323,29258
1742425200000,632963,27477
1742511600000,649664,28073
1742598000000,818295,29535
1742684400000,615645,38198
1742770800000,605545,69390
1742857200000,876640,85286
1742943600000,912038,89167
1743030000000,720422,78474
1743116400000,724256,24393
1743202800000,882497,33281
1743289200000,426074,30690
1743372000000,476640,28956
1743458400000,699517,32374
1743544800000,530312,41688
1743631200000,548342,35615
1743717600000,535365,37304
1743804000000,577736,52405
1743890400000,682216,32463
1743976800000,543011,23482
1744063200000,389439,24615
1744149600000,372230,22576
1744236000000,468436,33026
1744322400000,511809,26390
1744408800000,733730,33252
1744495200000,574350,43584
1744581600000,537982,49284
1744668000000,581352,70962
1744754400000,845427,50566
1744840800000,585189,44623
1744927200000,498620,34923
1745013600000,420069,28510
