Honeypots,"Top 20 values of type.keyword",Attacks
Ddospot,Ddospot,49087062
Cowrie,Cowrie,43430882
Honeytrap,Honeytrap,19094858
Ciscoasa,Ciscoasa,16251468
Dionaea,Dionaea,10677623
Heralding,Heralding,4696526
Sentrypeer,Sentrypeer,3099771
Tanner,Tanner,794510
Mailoney,Mailoney,785116
Adbhoney,Adbhoney,131688
Redishoneypot,Redishoneypot,127480
CitrixHoneypot,CitrixHoneypot,117459
ConPot,ConPot,116390
ElasticPot,ElasticPot,32718
Dicompot,Dicompot,19939
Ipphoney,Ipphoney,13073
Wordpot,Wordpot,597
Medpot,Medpot,257
